cache_key,text,voice_id,speed,cdn_url,storage_url,source_ref,record_id,field
elevenlabs|el:lily|0.85||thinner and taller,thinner and taller,el:lily,0.85,https://audio.bigmooneducation.com/85/85e6d0de3dab22c192950359ce4fc72c382eab34713ad43d282a9059f25d894d.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/85/85e6d0de3dab22c192950359ce4fc72c382eab34713ad43d282a9059f25d894d.mp3,src/data/primaryHub/grade6.json,g6v2_u1#vocab[5].chunks[2],chunks.en
elevenlabs|el:lily|0.85||heavier than me,heavier than me,el:lily,0.85,https://audio.bigmooneducation.com/f6/f6684d2eef3259eaa09fca82d244613e47dc39f79ea8bc07ecf34513c89ac4f7.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/f6/f6684d2eef3259eaa09fca82d244613e47dc39f79ea8bc07ecf34513c89ac4f7.mp3,src/data/primaryHub/grade6.json,g6v2_u1#vocab[6].chunks[0],chunks.en
elevenlabs|el:lily|0.85||five kilos heavier,five kilos heavier,el:lily,0.85,https://audio.bigmooneducation.com/de/ded3b05af8efef1c5b1e3e0bf959073b0ce6c4967978b9127aacf3d3422acfe5.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/de/ded3b05af8efef1c5b1e3e0bf959073b0ce6c4967978b9127aacf3d3422acfe5.mp3,src/data/primaryHub/grade6.json,g6v2_u1#vocab[6].chunks[1],chunks.en
elevenlabs|el:lily|0.85||much heavier,much heavier,el:lily,0.85,https://audio.bigmooneducation.com/fc/fcd57ec94b24f14bd8c6596f2fea9ea21bd4acf809362b670c1dd6aa29c95268.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/fc/fcd57ec94b24f14bd8c6596f2fea9ea21bd4acf809362b670c1dd6aa29c95268.mp3,src/data/primaryHub/grade6.json,g6v2_u1#vocab[6].chunks[2],chunks.en
elevenlabs|el:lily|0.85||bigger than yours,bigger than yours,el:lily,0.85,https://audio.bigmooneducation.com/b4/b47f3bdf42269fe13e3b32449627e5095680c0dbae02f572ace094755f8d1861.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/b4/b47f3bdf42269fe13e3b32449627e5095680c0dbae02f572ace094755f8d1861.mp3,src/data/primaryHub/grade6.json,g6v2_u1#vocab[7].chunks[0],chunks.en
elevenlabs|el:lily|0.85||a bigger size,a bigger size,el:lily,0.85,https://audio.bigmooneducation.com/5c/5cb969feeb0df0f7355cfec1f50ccf88e4410377d2573cf702437671e5c9201b.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/5c/5cb969feeb0df0f7355cfec1f50ccf88e4410377d2573cf702437671e5c9201b.mp3,src/data/primaryHub/grade6.json,g6v2_u1#vocab[7].chunks[1],chunks.en
elevenlabs|el:lily|0.85||much bigger,much bigger,el:lily,0.85,https://audio.bigmooneducation.com/b9/b9af1af5a82467cb0391216669553e176d0c97ae15d39aa6e42a1e4bb161eb79.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/b9/b9af1af5a82467cb0391216669553e176d0c97ae15d39aa6e42a1e4bb161eb79.mp3,src/data/primaryHub/grade6.json,g6v2_u1#vocab[7].chunks[2],chunks.en
elevenlabs|el:lily|0.85||How tall are you?,How tall are you?,el:lily,0.85,https://audio.bigmooneducation.com/e7/e7d90a5fdc470935050a294e86ac619645e54510a3e92b5a8dbc3ec9c3a74592.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/e7/e7d90a5fdc470935050a294e86ac619645e54510a3e92b5a8dbc3ec9c3a74592.mp3,src/data/primaryHub/grade6.json,g6v2_u1#dialogue.A Let's talk.q0,dialogues.lines.text
elevenlabs|el:lily|0.85||I'm 1.65 metres.,I'm 1.65 metres.,el:lily,0.85,https://audio.bigmooneducation.com/1a/1a2cc56b6166536021505ef146a61b83d9854a061c093cfa8992e714aaad8b72.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/1a/1a2cc56b6166536021505ef146a61b83d9854a061c093cfa8992e714aaad8b72.mp3,src/data/primaryHub/grade6.json,g6v2_u1#dialogue.A Let's talk.a1,dialogues.lines.text
elevenlabs|el:lily|0.85||What size are your shoes?,What size are your shoes?,el:lily,0.85,https://audio.bigmooneducation.com/be/be3ae9615a140a54d3ca51ed0faa0de99e8b5f3f06f49fb8d09b91b53b1ce717.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/be/be3ae9615a140a54d3ca51ed0faa0de99e8b5f3f06f49fb8d09b91b53b1ce717.mp3,src/data/primaryHub/grade6.json,g6v2_u1#dialogue.B Let's talk.q0,dialogues.lines.text
elevenlabs|el:lily|0.85||Size 7.,Size 7.,el:lily,0.85,https://audio.bigmooneducation.com/68/68e4ee2cebca6af8e50e8f95f59f760cb6df0b55f95c81b1ae63aed76a22718f.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/68/68e4ee2cebca6af8e50e8f95f59f760cb6df0b55f95c81b1ae63aed76a22718f.mp3,src/data/primaryHub/grade6.json,g6v2_u1#dialogue.B Let's talk.a1,dialogues.lines.text
elevenlabs|el:lily|0.7||How tall are you?,How tall are you?,el:lily,0.7,https://audio.bigmooneducation.com/18/186ff2a1c2dd97979d531fce2adb8a56fca92194672478d44e7c2c59286179db.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/18/186ff2a1c2dd97979d531fce2adb8a56fca92194672478d44e7c2c59286179db.mp3,src/data/primaryHub/grade6.json,g6v2_u1#listening[0],listeningQuestions.audio@0.7
elevenlabs|el:lily|0.7||I'm 1.65 metres.,I'm 1.65 metres.,el:lily,0.7,https://audio.bigmooneducation.com/6f/6f5dbb60a3649d763198c87217d28f21b6d8492f9fb8905927fe790c3e3cb5f4.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/6f/6f5dbb60a3649d763198c87217d28f21b6d8492f9fb8905927fe790c3e3cb5f4.mp3,src/data/primaryHub/grade6.json,g6v2_u1#listening[1],listeningQuestions.audio@0.7
elevenlabs|el:lily|1||I'm 1.65 metres.,I'm 1.65 metres.,el:lily,1,https://audio.bigmooneducation.com/db/dbef90b0e36f2038399fb653fb75f2a5c7e968388dbf1b5ae0845b220ed7ce01.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/db/dbef90b0e36f2038399fb653fb75f2a5c7e968388dbf1b5ae0845b220ed7ce01.mp3,src/data/primaryHub/grade6.json,g6v2_u1#listening[1],listeningQuestions.audio@1
elevenlabs|el:lily|0.7||What size are your shoes?,What size are your shoes?,el:lily,0.7,https://audio.bigmooneducation.com/47/475ceb92eace6330b7eba4f154cf86d681cb3284a37e33e4fc08d141400e474b.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/47/475ceb92eace6330b7eba4f154cf86d681cb3284a37e33e4fc08d141400e474b.mp3,src/data/primaryHub/grade6.json,g6v2_u1#listening[2],listeningQuestions.audio@0.7
elevenlabs|el:lily|1||What size are your shoes?,What size are your shoes?,el:lily,1,https://audio.bigmooneducation.com/61/618c4671ea78b4373ca97eb5801fbcc1060d1bf9b593ace24de5fe860ade70ae.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/61/618c4671ea78b4373ca97eb5801fbcc1060d1bf9b593ace24de5fe860ade70ae.mp3,src/data/primaryHub/grade6.json,g6v2_u1#listening[2],listeningQuestions.audio@1
elevenlabs|el:lily|0.7||Size 7.,Size 7.,el:lily,0.7,https://audio.bigmooneducation.com/be/bedef56f29a8922723600b3a37c3f51059a67903ad80ed29c604f9c857287441.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/be/bedef56f29a8922723600b3a37c3f51059a67903ad80ed29c604f9c857287441.mp3,src/data/primaryHub/grade6.json,g6v2_u1#listening[3],listeningQuestions.audio@0.7
elevenlabs|el:lily|1||Size 7.,Size 7.,el:lily,1,https://audio.bigmooneducation.com/f6/f6ceb4a51ef9190e047025bf37edab1e231fe30156f9462bfc8b2529fa3c115d.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/f6/f6ceb4a51ef9190e047025bf37edab1e231fe30156f9462bfc8b2529fa3c115d.mp3,src/data/primaryHub/grade6.json,g6v2_u1#listening[3],listeningQuestions.audio@1
elevenlabs|el:lily|0.85||cleaned my room,cleaned my room,el:lily,0.85,https://audio.bigmooneducation.com/2c/2c2abd0528943bc39b457370f7d7f9d06fcdc7ab3e647a0e5b26c3f28e1c943a.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/2c/2c2abd0528943bc39b457370f7d7f9d06fcdc7ab3e647a0e5b26c3f28e1c943a.mp3,src/data/primaryHub/grade6.json,g6v2_u2#vocab[0].chunks[0],chunks.en
elevenlabs|el:lily|0.85||cleaned the window,cleaned the window,el:lily,0.85,https://audio.bigmooneducation.com/32/32460916982a742e74627fefa7eb728de1b424acdfde48d98033eb1b60f5d43e.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/32/32460916982a742e74627fefa7eb728de1b424acdfde48d98033eb1b60f5d43e.mp3,src/data/primaryHub/grade6.json,g6v2_u2#vocab[0].chunks[1],chunks.en
elevenlabs|el:lily|0.85||cleaned the floor,cleaned the floor,el:lily,0.85,https://audio.bigmooneducation.com/db/dbf58c2209dcab51ee38d92ac8f65b93ba709788898ca8d02f9597b103f7e198.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/db/dbf58c2209dcab51ee38d92ac8f65b93ba709788898ca8d02f9597b103f7e198.mp3,src/data/primaryHub/grade6.json,g6v2_u2#vocab[0].chunks[2],chunks.en
elevenlabs|el:lily|0.85||stayed at home,stayed at home,el:lily,0.85,https://audio.bigmooneducation.com/07/071bcd8f099a8030da383355a8792c42655007cc705b29d7136e47a9693df5cd.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/07/071bcd8f099a8030da383355a8792c42655007cc705b29d7136e47a9693df5cd.mp3,src/data/primaryHub/grade6.json,g6v2_u2#vocab[1].chunks[0],chunks.en
elevenlabs|el:lily|0.85||stayed in bed,stayed in bed,el:lily,0.85,https://audio.bigmooneducation.com/3e/3e3b054c63665dfc97d787108d980abffaa2ec25d1b4dc969ceeda2dabdcbcaa.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/3e/3e3b054c63665dfc97d787108d980abffaa2ec25d1b4dc969ceeda2dabdcbcaa.mp3,src/data/primaryHub/grade6.json,g6v2_u2#vocab[1].chunks[1],chunks.en
elevenlabs|el:lily|0.85||stayed with grandma,stayed with grandma,el:lily,0.85,https://audio.bigmooneducation.com/b6/b6911cd6ac3409a6f6e72828008abbd7a3a8b85ae6bdf25edeaafe88a5a123b3.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/b6/b6911cd6ac3409a6f6e72828008abbd7a3a8b85ae6bdf25edeaafe88a5a123b3.mp3,src/data/primaryHub/grade6.json,g6v2_u2#vocab[1].chunks[2],chunks.en
elevenlabs|el:lily|0.85||washed my clothes,washed my clothes,el:lily,0.85,https://audio.bigmooneducation.com/ca/ca06cfb785fc0784b5201e2bb791c6a7a41501eee9f88af125037f1812e3f179.mp3,https://degqpiiddkxcuzwombwp.supabase.co/storage/v1/object/public/tts-audio/ca/ca06cfb785fc0784b5201e2bb791c6a7a41501eee9f88af125037f1812e3f179.mp3,src/data/primaryHub/grade6.json,g6v2_u2#vocab[2].chunks[0],chunks.en
