book,unit,word,gloss,printed_page,pdf_page
primary_6B,Unit 1,younger,（young 的比较 级）更年轻的,5,10
primary_6B,Unit 1,older,（old 的比较级） 更年长的,5,10
primary_6B,Unit 1,taller,（tall 的比较级） 更高的,5,10
primary_6B,Unit 1,shorter,（short 的比较 级）更矮的；更短的,5,10
primary_6B,Unit 1,longer,（long 的比较级） 更长的,5,10
primary_6B,Unit 1,thinner,（thin 的比较级） 更瘦的,7,12
primary_6B,Unit 1,heavier,（heavy 的比较级）更重的,7,12
primary_6B,Unit 1,bigger,（big 的比较级） 更大的,7,12
primary_6B,Unit 1,smaller,（small 的比较 级）更小的,7,12
primary_6B,Unit 1,stronger,（strong 的 比较级）更强壮的,7,12
primary_6B,Unit 1,dinosaur,恐龙,4,9
primary_6B,Unit 1,hall,大厅,4,9
primary_6B,Unit 1,metre,米（美式英语： meter ）,4,9
primary_6B,Unit 1,than,比,4,9
primary_6B,Unit 1,both,两个都,4,9
primary_6B,Unit 1,kilogram,千克；公斤,6,11
primary_6B,Unit 1,countryside,乡村,8,13
primary_6B,Unit 1,lower,（low 的比较级） 更低地,8,13
primary_6B,Unit 1,shadow,阴影；影子,8,13
primary_6B,Unit 1,smarter,（smart 的比较级）更聪明的,8,13
primary_6B,Unit 1,become,开始变得；变成,8,13
primary_6B,Unit 2,cleaned,（clean 的过去式） 打扫,15,20
primary_6B,Unit 2,stayed,（stay 的过去式） 停留；待,15,20
primary_6B,Unit 2,washed,（wash 的过去式） 洗,15,20
primary_6B,Unit 2,watched,（watch 的过去式） 看,15,20
primary_6B,Unit 2,had,（have 的过去式） 患病；得病,17,22
primary_6B,Unit 2,had a cold,感冒,17,22
primary_6B,Unit 2,slept,（sleep 的过去式） 睡觉,17,22
primary_6B,Unit 2,read,（read 的过去式） 读,17,22
primary_6B,Unit 2,saw,（see 的过去式）看见,17,22
primary_6B,Unit 2,last,最近的；上一个的,17,22
primary_6B,Unit 2,yesterday,昨天,17,22
primary_6B,Unit 2,before,在⋯⋯之前,17,22
primary_6B,Unit 2,drank,（drink 的过去式） 喝,14,19
primary_6B,Unit 2,show,演出,14,19
primary_6B,Unit 2,magazine,杂志,16,21
primary_6B,Unit 2,better,（well 的比较级） 更好的,16,21
primary_6B,Unit 2,faster,（fast 的比较级） 更快的,16,21
primary_6B,Unit 2,hotel,旅馆,18,23
primary_6B,Unit 2,fixed,（fix 的过去式） 修理,18,23
primary_6B,Unit 2,broken,破损的,18,23
primary_6B,Unit 2,lamp,台灯,18,23
primary_6B,Unit 2,loud,喧闹的；大声的,18,23
primary_6B,Unit 2,enjoy,享受⋯⋯乐趣； 喜爱,18,23
primary_6B,Unit 2,stay,暂住；逗留,18,23
primary_6B,Unit 3,went,（go 的过去式）去,25,30
primary_6B,Unit 3,camp,野营,25,30
primary_6B,Unit 3,went camping,（尤指在假日） 野营,25,30
primary_6B,Unit 3,fish,钓鱼；捕鱼,25,30
primary_6B,Unit 3,went fishing,去钓鱼,25,30
primary_6B,Unit 3,rode,（ride 的过去式） 骑（马；自行车）,25,30
primary_6B,Unit 3,hurt,（hurt 的过去式） （使）受伤,25,30
primary_6B,Unit 3,ate,（eat 的过去式）吃,27,32
primary_6B,Unit 3,took,（take 的过去式）拍照,27,32
primary_6B,Unit 3,took pictures,照相,27,32
primary_6B,Unit 3,bought,（buy 的过去式）买,27,32
primary_6B,Unit 3,gift,礼物,27,32
primary_6B,Unit 3,fell,（fall的过去式）摔倒,24,29
primary_6B,Unit 3,off,从（某处）落下,24,29
primary_6B,Unit 3,Labour Day,劳动节,24,29
primary_6B,Unit 3,mule,骡子,24,29
primary_6B,Unit 3,Turpan,吐鲁番,24,29
primary_6B,Unit 3,could,（can 的过去式） 能,24,29
primary_6B,Unit 3,till,直到,24,29
primary_6B,Unit 3,beach,海滩；沙滩,26,31
primary_6B,Unit 3,basket,篮；筐,28,33
primary_6B,Unit 3,part,角色,28,33
primary_6B,Unit 3,licked,（lick 的过去式） 舔,28,33
primary_6B,Unit 3,laughed,（laugh 的 过去式）笑,28,33
primary_6B,Unit 4,dining hall,饭厅,35,40
primary_6B,Unit 4,grass,草坪,35,40
primary_6B,Unit 4,gym,体育馆,35,40
primary_6B,Unit 4,ago,以前,35,40
primary_6B,Unit 4,cycling,骑自行车运动 （或活动）,37,42
primary_6B,Unit 4,go cycling,去骑自行车,37,42
primary_6B,Unit 4,ice-skate,滑冰,37,42
primary_6B,Unit 4,badminton,羽毛球运动,37,42
primary_6B,Unit 4,star,星,34,39
primary_6B,Unit 4,easy,容易的,34,39
primary_6B,Unit 4,look up,（在词典中或通过电脑） 查阅,34,39
primary_6B,Unit 4,Internet,互联网,34,39
primary_6B,Unit 4,different,不同的,36,41
primary_6B,Unit 4,active,积极的；活跃的,36,41
primary_6B,Unit 4,race,赛跑,38,43
primary_6B,Unit 4,nothing,没有什么,38,43
primary_6B,Unit 4,thought,（think 的过去式） 想,38,43
primary_6B,Unit 4,felt,（feel 的过去式）感觉,38,43
primary_6B,Unit 4,cheetah,猎豹,38,43
primary_6B,Unit 4,trip,绊倒,38,43
primary_6B,Unit 4,woke,（wake 的过去式） 醒,38,43
primary_6B,Unit 4,dream,梦,38,43
