word_id,word,pos,phonetic,meaning_cn,stage,year_band,volume,volume_label,source_type,source_page,source_ref,confidence
sr-B1-0050,cheat,vi.,/tSi:t/,作弊；舞弊vt欺骗；蒙骗n欺骗手段；骗子,senior,1,B1,必修第一册,vocabulary,126,3,high
sr-B1-0051,check in,,,在旅馆、机场等）登记,senior,1,B1,必修第一册,vocabulary,126,2,high
sr-B1-0052,check out,,,结账离开（旅馆等）,senior,1,B1,必修第一册,vocabulary,126,2,high
sr-B1-0053,civilisation,n.,"/%sIv@laI""zeISn/",文明；文明世界,senior,1,B1,必修第一册,vocabulary,126,2,high
sr-B1-0054,classic,adj.,"/""kl{sIk/",传统的；最优秀的；典型的n经典作品；名著,senior,1,B1,必修第一册,vocabulary,126,5,high
sr-B1-0055,clean up,,,打扫（或清除）干净,senior,1,B1,必修第一册,vocabulary,126,1,high
sr-B1-0056,come along,,,跟随；到达；进步；赶快,senior,1,B1,必修第一册,vocabulary,126,3,high
sr-B1-0057,comment,n. vt.,"/""kQment/",议论；评论vi发表意见；评论,senior,1,B1,必修第一册,vocabulary,126,2,high
sr-B1-0058,company,n.,"/""kVmp@ni/",公司；商行；陪伴,senior,1,B1,必修第一册,vocabulary,126,w,high
sr-B1-0059,compare … with/to …,,,与……比较,senior,1,B1,必修第一册,vocabulary,126,3,high
sr-B1-0060,compete,vi.,"/k@m""pi:t/",竞争；对抗,senior,1,B1,必修第一册,vocabulary,126,3,high
sr-B1-0061,concentrate,vt.,"/""kQnsntreIt/",集中（注意力）；聚精会神,senior,1,B1,必修第一册,vocabulary,126,w,high
sr-B1-0062,concentrate on,,,集中精力于,senior,1,B1,必修第一册,vocabulary,126,w,high
sr-B1-0063,confidence,n.,"/""kQnfId@ns/",信心；信任,senior,1,B1,必修第一册,vocabulary,126,w,high
sr-B1-0064,confused,adj.,"/k@n""fju:zd/",糊涂的；迷惑的,senior,1,B1,必修第一册,vocabulary,126,1,high
sr-B1-0065,contact,vt.,"/""kQnt{kt/",联络；联系n联系；接触,senior,1,B1,必修第一册,vocabulary,126,2,high
sr-B1-0066,content,n.,"/""kQntent/",内容；目录；（书、讲话、 节目等的）主题,senior,1,B1,必修第一册,vocabulary,126,1,high
sr-B1-0067,context,n.,"/""kQntekst/",上下文；语境；背景,senior,1,B1,必修第一册,vocabulary,126,4,high
sr-B1-0068,crash,vt.,/kr{S/,碰撞；撞击n撞车；碰撞,senior,1,B1,必修第一册,vocabulary,126,4,high
sr-B1-0069,credit,n.,"/""kredIt/",借款；信用；称赞；学分,senior,1,B1,必修第一册,vocabulary,126,2,high
sr-B1-0070,credit card,,,信用卡,senior,1,B1,必修第一册,vocabulary,126,2,high
sr-B1-0071,curious,adj.,"/""kjU@ri@s/",好奇的；求知欲强的,senior,1,B1,必修第一册,vocabulary,126,w,high
sr-B1-0072,cut … out,,,停止做（或使用、食用）；剪下,senior,1,B1,必修第一册,vocabulary,126,3,high
sr-B1-0073,date back (to …),,,追溯到,senior,1,B1,必修第一册,vocabulary,126,5,high
sr-B1-0074,death,n.,/deT/,死；死亡,senior,1,B1,必修第一册,vocabulary,126,4,high
sr-B1-0075,debate,n. vi.,"/dI""beIt/",辩论；争论vt辩论；争论,senior,1,B1,必修第一册,vocabulary,126,1,high
sr-B1-0076,deliver,vi.,"/dI""lIv@(r)/",递送；传达vt发表,senior,1,B1,必修第一册,vocabulary,126,4,high
sr-B1-0077,demand,n.,"/dI""mA:nd/",要求；需求vt强烈要求；需要vi查问,senior,1,B1,必修第一册,vocabulary,126,5,high
sr-B1-0078,description,n.,"/dI""skrIpSn/",描写（文字）；形容,senior,1,B1,必修第一册,vocabulary,126,5,high
sr-B1-0079,design,n.,"/dI""zaIn/",设计；设计方案vt设计；筹划,senior,1,B1,必修第一册,vocabulary,126,w,high
sr-B1-0080,despite,prep.,"/dI""spaIt/",即使；尽管,senior,1,B1,必修第一册,vocabulary,126,5,high
sr-B1-0081,destination,n.,"/%destI""neISn/",目的地；终点,senior,1,B1,必修第一册,vocabulary,126,2,high
sr-B1-0082,destroy,vt.,"/dI""strOI/",摧毁；毁灭,senior,1,B1,必修第一册,vocabulary,126,4,high
sr-B1-0083,detail,n.,"/""di:teIl/",细节；详情；细微之处,senior,1,B1,必修第一册,vocabulary,126,2,high
sr-B1-0084,diet,n.,"/""daI@t/",规定饮食；日常饮食vi节食,senior,1,B1,必修第一册,vocabulary,126,3,high
sr-B1-0085,disaster,n.,"/dI""zA:st@(r)/",灾难；灾害,senior,1,B1,必修第一册,vocabulary,126,4,high
sr-B1-0086,drought,n.,/draUt/,旱灾；久旱,senior,1,B1,必修第一册,vocabulary,127,4,high
sr-B1-0087,dynasty,n.,"/""dIn@sti;NAmE""daI-/",王朝；朝代,senior,1,B1,必修第一册,vocabulary,127,5,high
sr-B1-0088,editor,n.,"/""edIt@(r)/",主编；编辑；编者,senior,1,B1,必修第一册,vocabulary,127,1,high
sr-B1-0089,effect,n.,"/I""fekt/",影响；结果；效果,senior,1,B1,必修第一册,vocabulary,127,4,high
sr-B1-0090,effort,n.,"/""ef@t/",努力；艰难的尝试；尽力,senior,1,B1,必修第一册,vocabulary,127,4,high
sr-B1-0091,electricity,n.,"/I%lek""trIs@ti/",电；电能,senior,1,B1,必修第一册,vocabulary,127,4,high
sr-B1-0092,emergency,n.,"/i""m3:dZ@nsi/",突发事件；紧急情况,senior,1,B1,必修第一册,vocabulary,127,4,high
sr-B1-0093,emperor,n.,"/""emp@r@(r)/",皇帝,senior,1,B1,必修第一册,vocabulary,127,2,high
sr-B1-0094,equal,n.,"/""i:kw@l/",同等的人；相等物adj相同的；同样的,senior,1,B1,必修第一册,vocabulary,127,5,high
