book,unit,word,gloss,printed_page,pdf_page
primary_3B,Unit 1,UK,英国,5,10
primary_3B,Unit 1,Canada,加拿大,5,10
primary_3B,Unit 1,USA,美国,5,10
primary_3B,Unit 1,China,中国,5,10
primary_3B,Unit 1,she,她,8,13
primary_3B,Unit 1,student,学生,8,13
primary_3B,Unit 1,pupil,学生； （尤指）小学生,8,13
primary_3B,Unit 1,he,他,8,13
primary_3B,Unit 1,teacher,教师,8,13
primary_3B,Unit 1,boy,男孩,4,9
primary_3B,Unit 1,and,和；与,4,9
primary_3B,Unit 1,girl,女孩,4,9
primary_3B,Unit 1,new,新的,4,9
primary_3B,Unit 1,friend,朋友,4,9
primary_3B,Unit 1,today,今天,4,9
primary_3B,Unit 2,father,父亲；爸爸,15,20
primary_3B,Unit 2,dad,（口语）爸爸；爹爹,15,20
primary_3B,Unit 2,man,男人,15,20
primary_3B,Unit 2,woman,女人,15,20
primary_3B,Unit 2,mother,母亲；妈妈,15,20
primary_3B,Unit 2,sister,姐；妹,18,23
primary_3B,Unit 2,brother,兄；弟,18,23
primary_3B,Unit 2,grandmother,（外）祖母,18,23
primary_3B,Unit 2,grandma,（口语）（外）祖母,18,23
primary_3B,Unit 2,grandfather,（外）祖父,18,23
primary_3B,Unit 2,grandpa,（口语）（外）祖父,18,23
primary_3B,Unit 2,family,家；家庭,18,23
primary_3B,Unit 3,thin,瘦的,25,30
primary_3B,Unit 3,fat,胖的；肥的,25,30
primary_3B,Unit 3,tall,高的,25,30
primary_3B,Unit 3,short,"矮的；短的 ,28",25,30
primary_3B,Unit 3,long,长的,28,33
primary_3B,Unit 3,small,小的,28,33
primary_3B,Unit 3,big,大的,28,33
primary_3B,Unit 3,giraffe,长颈鹿,24,29
primary_3B,Unit 3,so,这么；那么,24,29
primary_3B,Unit 3,children,（child 的复数）儿童,27,32
primary_3B,Unit 3,tail,尾巴,27,32
primary_3B,Unit 4,on,在⋯⋯上,39,44
primary_3B,Unit 4,in,在⋯⋯里,39,44
primary_3B,Unit 4,under,在⋯⋯下面,39,44
primary_3B,Unit 4,chair,椅子,39,44
primary_3B,Unit 4,desk,书桌,39,44
primary_3B,Unit 4,cap,帽子,42,47
primary_3B,Unit 4,ball,球,42,47
primary_3B,Unit 4,car,小汽车,42,47
primary_3B,Unit 4,boat,小船,42,47
primary_3B,Unit 4,map,地图,42,47
primary_3B,Unit 4,toy,玩具,41,46
primary_3B,Unit 4,box,盒；箱,41,46
primary_3B,Unit 5,pear,梨,49,54
primary_3B,Unit 5,apple,苹果,49,54
primary_3B,Unit 5,orange,橙子,49,54
primary_3B,Unit 5,banana,香蕉,49,54
primary_3B,Unit 5,watermelon,西瓜,52,57
primary_3B,Unit 5,strawberry,草莓,52,57
primary_3B,Unit 5,grape,葡萄,52,57
primary_3B,Unit 5,buy,买,48,53
primary_3B,Unit 5,fruit,水果,48,53
primary_3B,Unit 6,eleven,十一,59,64
primary_3B,Unit 6,twelve,十二,59,64
primary_3B,Unit 6,thirteen,十三,59,64
primary_3B,Unit 6,fourteen,十四,59,64
primary_3B,Unit 6,fifteen,十五,59,64
primary_3B,Unit 6,sixteen,十六,62,67
primary_3B,Unit 6,seventeen,十七,62,67
primary_3B,Unit 6,eighteen,十八,62,67
primary_3B,Unit 6,nineteen,十九,62,67
primary_3B,Unit 6,twenty,二十,62,67
primary_3B,Unit 6,kite,风筝,58,63
primary_3B,Unit 6,beautiful,美丽的,58,63
