word_id,word,pos,phonetic,meaning_cn,stage,year_band,volume,volume_label,source_type,source_page,source_ref,confidence
sr-B3-0001,attach,vt.,"/@""t{tS/",系；绑；贴,senior,3,B3,必修第三册,vocabulary,116,4,high
sr-B3-0002,autonomous,adj.,"/O:""tQn@m@s/",自治的；有自治权的,senior,3,B3,必修第三册,vocabulary,116,1,high
sr-B3-0003,(at) first hand,,,第一手；亲自,senior,3,B3,必修第三册,vocabulary,116,3,high
sr-B3-0004,a great deal (of),,,大量,senior,3,B3,必修第三册,vocabulary,116,2,high
sr-B3-0005,absolutely,adv.,"/""{bs@lu:tli/",绝对地；完全地,senior,3,B3,必修第三册,vocabulary,116,1,high
sr-B3-0006,accident,n.,"/""{ksId@nt/",事故；车祸；失事,senior,3,B3,必修第三册,vocabulary,116,2,high
sr-B3-0007,by accident,,,偶然地；意外地,senior,3,B3,必修第三册,vocabulary,116,3,high
sr-B3-0008,admit,vt.,"/@d""mIt/",承认B广东银行,senior,3,B3,必修第三册,vocabulary,116,3,high
sr-B3-0009,bar,n.,/bA:(r)/,酒吧；小吃店；小馆子,senior,3,B3,必修第三册,vocabulary,116,3,high
sr-B3-0010,basis,n.,"/""beIsIs/",基础；根据；基点,senior,3,B3,必修第三册,vocabulary,116,5,high
sr-B3-0011,on the basis of,,,在某事的基础上；根据某事,senior,3,B3,必修第三册,vocabulary,116,5,high
sr-B3-0012,be about to do sth,,,即将或正要（做某事）,senior,3,B3,必修第三册,vocabulary,116,5,high
sr-B3-0013,belief,n.,"/bI""li:f/",信仰；信心；信任,senior,3,B3,必修第三册,vocabulary,116,1,high
sr-B3-0014,beneath,prep.,"/bI""ni:T/",在（或往）……下面；在……的表面之下,senior,3,B3,必修第三册,vocabulary,116,5,high
sr-B3-0015,bet,n.,/bet/,打赌；赌注vt准许进入（或加入）,senior,3,B3,必修第三册,vocabulary,116,3,high
sr-B3-0016,after all,,,毕竟；别忘了,senior,3,B3,必修第三册,vocabulary,116,1,high
sr-B3-0017,afterwards,adv.,"/""A:ft@w@dz/",以后；后来,senior,3,B3,必修第三册,vocabulary,116,3,high
sr-B3-0018,agency,,"/""eIdZ@nsi/",政府的）专门机构；服务机构；代理处,senior,3,B3,必修第三册,vocabulary,116,4,high
sr-B3-0019,agriculture,n.,"/""{grIkVltS@(r)/",农业；农艺,senior,3,B3,必修第三册,vocabulary,116,1,high
sr-B3-0020,make a bet,,,打个赌,senior,3,B3,必修第三册,vocabulary,116,5,high
sr-B3-0021,beyond,prep.,"/bI""jQnd/",在更远处；超出,senior,3,B3,必修第三册,vocabulary,116,4,high
sr-B3-0022,bite,,/baIt/,咬；叮；蜇n咬；（咬下的）一口；咬伤,senior,3,B3,必修第三册,vocabulary,116,2,high
sr-B3-0023,boot,n.,/bu:t/,靴子,senior,3,B3,必修第三册,vocabulary,116,3,high
sr-B3-0024,branch,n.,/brA:ntS/,树枝；分支；支流,senior,3,B3,必修第三册,vocabulary,116,1,high
sr-B3-0025,brief,adj.,/bri:f/,简洁的；简单的；短暂的,senior,3,B3,必修第三册,vocabulary,116,1,high
sr-B3-0026,bring about,,,导致；引起,senior,3,B3,必修第三册,vocabulary,116,3,high
sr-B3-0027,broad,adj.,/brO:d/,宽阔的；广阔的；广泛的(5)（对事物的）分析；分析结果,senior,3,B3,必修第三册,vocabulary,116,4,high
sr-B3-0028,apart from,,,除了……外（还）；此外,senior,3,B3,必修第三册,vocabulary,116,3,high
sr-B3-0029,apologise,vi.,"/@""pQl@dZaIz/",道歉；谢罪,senior,3,B3,必修第三册,vocabulary,116,5,high
sr-B3-0030,argue,vi.,"/""A:gju:/",论证；争辩；争论,senior,3,B3,必修第三册,vocabulary,116,4,high
sr-B3-0031,as a matter of fact,,,事实上；其实；说真的,senior,3,B3,必修第三册,vocabulary,116,5,high
sr-B3-0032,as a result,,,所以；结果（是）,senior,3,B3,必修第三册,vocabulary,116,4,high
sr-B3-0033,aside,adv.,"/@""saId/",到旁边；在旁边；留；存,senior,3,B3,必修第三册,vocabulary,116,5,high
sr-B3-0034,astronaut,n.,"/""{str@nO:t/",宇航员；太空人,senior,3,B3,必修第三册,vocabulary,116,4,high
sr-B3-0035,atlantic,adj.,"/@t""l{ntIk/",大西洋的,senior,3,B3,必修第三册,vocabulary,116,3,high
