book,unit,word,gloss,printed_page,pdf_page
primary_6A,Unit 1,science,科学,5,10
primary_6A,Unit 1,museum,博物馆,5,10
primary_6A,Unit 1,post office,邮局,5,10
primary_6A,Unit 1,bookstore,书店,5,10
primary_6A,Unit 1,cinema,电影院,5,10
primary_6A,Unit 1,hospital,医院,5,10
primary_6A,Unit 1,crossing,十字路口,7,12
primary_6A,Unit 1,turn,转弯,7,12
primary_6A,Unit 1,left,左,7,12
primary_6A,Unit 1,straight,笔直地,7,12
primary_6A,Unit 1,right,右,7,12
primary_6A,Unit 1,ask,问,4,9
primary_6A,Unit 1,sir,（对男子的礼貌称呼） 先生,4,9
primary_6A,Unit 1,interesting,有趣的,6,11
primary_6A,Unit 1,Italian,意大利的,6,11
primary_6A,Unit 1,restaurant,餐馆,6,11
primary_6A,Unit 1,pizza,比萨饼,6,11
primary_6A,Unit 1,street,大街；街道,6,11
primary_6A,Unit 1,get,到达,6,11
primary_6A,Unit 1,BDS,北斗卫星导航系统,8,13
primary_6A,Unit 1,gave,（give 的过去式） 提供；交给,8,13
primary_6A,Unit 1,feature,特点,8,13
primary_6A,Unit 1,follow,跟着,8,13
primary_6A,Unit 1,far,远的,8,13
primary_6A,Unit 1,tell,告诉,8,13
primary_6A,Unit 2,on foot,步行,15,20
primary_6A,Unit 2,by,（表示方式）乘,15,20
primary_6A,Unit 2,bus,公共汽车,15,20
primary_6A,Unit 2,plane,飞机,15,20
primary_6A,Unit 2,taxi,出租汽车,15,20
primary_6A,Unit 2,ship,（大）船,15,20
primary_6A,Unit 2,subway,地铁,15,20
primary_6A,Unit 2,train,火车,15,20
primary_6A,Unit 2,slow,（使）放慢速度；慢的,17,22
primary_6A,Unit 2,down,减少；降低,17,22
primary_6A,Unit 2,slow down,慢下来,17,22
primary_6A,Unit 2,stop,停下,17,22
primary_6A,Unit 2,Mrs,夫人,14,19
primary_6A,Unit 2,early,早到的,14,19
primary_6A,Unit 2,helmet,头盔,16,21
primary_6A,Unit 2,must,必须,16,21
primary_6A,Unit 2,wear,戴,16,21
primary_6A,Unit 2,attention,注意,16,21
primary_6A,Unit 2,pay attention to,注意,16,21
primary_6A,Unit 2,traffic,交通,16,21
primary_6A,Unit 2,traffic lights,交通信号灯,16,21
primary_6A,Unit 2,Munich,慕尼黑（德国 城市）,18,23
primary_6A,Unit 2,Germany,德国,18,23
primary_6A,Unit 2,Alaska,阿拉斯加州（美国 州名）,18,23
primary_6A,Unit 2,sled,雪橇,18,23
primary_6A,Unit 2,fast,快,18,23
primary_6A,Unit 2,ferry,轮渡,18,23
primary_6A,Unit 2,Papa Westray,帕帕韦斯特雷岛,18,23
primary_6A,Unit 2,Scotland,苏格兰,18,23
primary_6A,Unit 3,visit,拜访,25,30
primary_6A,Unit 3,film,电影,25,30
primary_6A,Unit 3,see a film,看电影,25,30
primary_6A,Unit 3,trip,旅行,25,30
primary_6A,Unit 3,take a trip,去旅行,25,30
primary_6A,Unit 3,supermarket,超市,25,30
primary_6A,Unit 3,evening,晚上；傍晚,25,30
primary_6A,Unit 3,tonight,在今晚,25,30
primary_6A,Unit 3,tomorrow,明天,25,30
primary_6A,Unit 3,next week,下周,25,30
primary_6A,Unit 3,dictionary,词典,27,32
primary_6A,Unit 3,comic,滑稽的,27,32
primary_6A,Unit 3,comic book,（儿童的）连环画册,27,32
primary_6A,Unit 3,word,单词,27,32
primary_6A,Unit 3,word book,单词书,27,32
primary_6A,Unit 3,postcard,明信片,27,32
primary_6A,Unit 3,lesson,课,24,29
primary_6A,Unit 3,space,太空,26,31
