book,unit,word,gloss,printed_page,pdf_page
primary_6A,Unit 3,travel,（尤指长途）旅行,26,31
primary_6A,Unit 3,half,一半,26,31
primary_6A,Unit 3,price,价格,26,31
primary_6A,Unit 3,Mid-Autumn Festival,中秋节,28,33
primary_6A,Unit 3,together,一起,28,33
primary_6A,Unit 3,get together,聚会,28,33
primary_6A,Unit 3,mooncake,月饼,28,33
primary_6A,Unit 3,poem,诗,28,33
primary_6A,Unit 3,moon,月亮,28,33
primary_6A,Unit 4,studies,（study 的第三 人称单数形式）学习,41,46
primary_6A,Unit 4,puzzle,谜,41,46
primary_6A,Unit 4,hiking,远足,41,46
primary_6A,Unit 4,pen pal,笔友,38,43
primary_6A,Unit 4,hobby,业余爱好,38,43
primary_6A,Unit 4,jasmine,茉莉 idea 想法；主意 p.38,38,43
primary_6A,Unit 4,Canberra,堪培拉（澳 大利亚首都）,40,45
primary_6A,Unit 4,amazing,令人惊奇的,40,45
primary_6A,Unit 4,shall,表示征求意见,42,47
primary_6A,Unit 4,goal,射门,42,47
primary_6A,Unit 4,join,加入,42,47
primary_6A,Unit 4,club,俱乐部,42,47
primary_6A,Unit 4,share,分享,42,47
primary_6A,Unit 5,factory,工厂,49,54
primary_6A,Unit 5,worker,工人,49,54
primary_6A,Unit 5,postman,邮递员,49,54
primary_6A,Unit 5,businessman,商人； 企业家,49,54
primary_6A,Unit 5,police officer,警察,49,54
primary_6A,Unit 5,fisherman,渔民,51,56
primary_6A,Unit 5,scientist,科学家,51,56
primary_6A,Unit 5,pilot,飞行员,51,56
primary_6A,Unit 5,coach,教练,51,56
primary_6A,Unit 5,country,国家,48,53
primary_6A,Unit 5,head teacher,校长,48,53
primary_6A,Unit 5,sea,大海,50,55
primary_6A,Unit 5,stay,保持,50,55
primary_6A,Unit 5,university,大学,51,56
primary_6A,Unit 5,gym,体育馆,52,57
primary_6A,Unit 5,if,如果,52,57
primary_6A,Unit 5,reporter,记者,52,57
primary_6A,Unit 5,use,使用,52,57
primary_6A,Unit 5,type,打字,52,57
primary_6A,Unit 5,quickly,迅速地,52,57
primary_6A,Unit 5,secretary,秘书,52,57
primary_6A,Unit 6,angry,生气的,59,64
primary_6A,Unit 6,afraid,害怕,59,64
primary_6A,Unit 6,sad,难过的,59,64
primary_6A,Unit 6,worried,担心的；发愁的,59,64
primary_6A,Unit 6,happy,高兴的,59,64
primary_6A,Unit 6,see a doctor,看病,61,66
primary_6A,Unit 6,wear,穿,61,66
primary_6A,Unit 6,more,更多的,61,66
primary_6A,Unit 6,deep,深的,61,66
primary_6A,Unit 6,breath,呼吸,61,66
primary_6A,Unit 6,take a deep breath,深深吸一口气,61,66
primary_6A,Unit 6,count,数数,61,66
primary_6A,Unit 6,count to ten,数到十,61,66
primary_6A,Unit 6,chase,追赶,58,63
primary_6A,Unit 6,mice,（mouse 的复数） 老鼠,58,63
primary_6A,Unit 6,bad,邪恶的；坏的,58,63
primary_6A,Unit 6,hurt,（使）受伤,58,63
primary_6A,Unit 6,ill,有病；不舒服,59,64
primary_6A,Unit 6,wrong,有毛病,60,65
primary_6A,Unit 6,should,应该,60,65
primary_6A,Unit 6,feel,觉得；感到,60,65
primary_6A,Unit 6,well,健康；身体好,60,65
primary_6A,Unit 6,sit,坐,62,67
primary_6A,Unit 6,grass,草坪,62,67
primary_6A,Unit 6,hear,听见,62,67
primary_6A,Unit 6,ant,蚂蚁,62,67
primary_6A,Unit 6,worry,担心；担忧,62,67
primary_6A,Unit 6,stuck,陷住；无法移动,62,67
primary_6A,Unit 6,mud,泥,62,67
primary_6A,Unit 6,pull,拉；拽,62,67
primary_6A,Unit 6,everyone,每人,62,67
