word_id,word,pos,meaning_cn,stage,grade,volume,unit,source_type,source_page,confidence
jr-7A-SU3-0016,see,v.,理解；明白,junior,7,7A,SU3,wordlist,117,high
jr-7A-SU3-0017,the,art.,指已提到或易领会 到的人或事物,junior,7,7A,SU3,wordlist,117,high
jr-7A-SU3-0018,UFO,,不明飞行物,junior,7,7A,SU3,wordlist,117,high
jr-7A-SU3-0019,white,adj.,& n. 白色（的）,junior,7,7A,SU3,wordlist,117,high
jr-7A-SU3-0020,yellow,adj.,& n. 黄色 （的）,junior,7,7A,SU3,wordlist,117,high
jr-7A-U1-0001,Alan,,艾伦（男名）,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0002,and,conj.,和；又；而,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0003,Brown,,布朗（姓）,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0004,China,,中国,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0005,eight,num.,八,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0006,first,adj.,第一 p.5 96 first name 名字,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0007,five,num.,五,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0008,four,num.,四,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0009,friend,n.,朋友,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0010,Gina,,吉娜（女名）,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0011,Green,,格林（姓）,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0012,he,pron.,他,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0013,her,pron.,她的,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0014,his,pron.,他的,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0015,Jack,,杰克（男名）,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0016,Jane,,简（女名）,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0017,Jenny,,珍妮（女名）,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0018,last,,、 /l{st/ adj. 最后的；末尾的 p.5 last name 姓,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0019,Linda,,琳达（女名）,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0020,Mary,,、 /meri/ 玛丽（女名）,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0021,meet,v.,遇见；相逢,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0022,middle,adj.,中间的  n. 中间,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0023,Mike,,迈克（男名）,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0024,Miller,,米勒（姓）,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0025,Ms.,,（用于女子的姓氏或姓名前， 不指明婚否）女士,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0026,name,n.,名字；名称,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0027,nice,adj.,令人愉快的；宜人的,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0028,nine,num.,九,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0029,no,adv.,& adj. 不；没有；不是,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0030,not,,、 /nA:t/ adv. 不；没有,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0031,number,n.,号码；数字,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0032,one,num.,一,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0033,phone,n.,电话；电话机 p.4 telephone/phone number 电话号码,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0034,school,n.,学校 p.6 middle school  中学；初中,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0035,seven,num.,七,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0036,she,pron.,她,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0037,six,num.,六,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0038,Smith,,史密斯（姓）,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0039,telephone,n.,电话；电话机,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0040,three,num.,三,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0041,to,,常用于原形动词之前，表 示该动词为不定式,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0042,Tom,,、 /tA:m/ 汤姆（男名）,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0043,too,adv.,也；又；太,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0044,two,num.,二,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0045,yes,interj.,是的；可以,junior,7,7A,U1,wordlist,117,high
jr-7A-U1-0046,your,pron.,你的；你们的,junior,7,7A,U1,wordlist,117,high
