book,unit,word,gloss,printed_page,pdf_page
primary_5A,Unit 5,above,在（或向）⋯⋯上面,52,57
primary_5A,Unit 4,any,任何的；任一的,41,46
primary_5A,Unit 6,aren’t = are not,,61,66
primary_5A,Unit 4,at,（后面接邮件地址）,43,48
primary_5A,Unit 5,behind,在（或向）⋯⋯ 后面,52,57
primary_5A,Unit 5,beside,在旁边（附近）,52,57
primary_5A,Unit 5,between,在⋯⋯中间,52,57
primary_5A,Unit 5,bike,自行车；脚踏车,49,54
primary_5A,Unit 6,boating,划船,58,63
primary_5A,Unit 5,bottle,瓶子,49,54
primary_5A,Unit 6,bridge,桥,62,67
primary_5A,Unit 6,building,建筑物；房子； 楼房,62,67
primary_5A,Unit 4,cartoon,漫画,39,44
primary_5A,Unit 1,clever,聪明的；聪颖的,8,13
primary_5A,Unit 5,clock,时钟；钟,49,54
primary_5A,Unit 4,cook,烹调；烹饪,42,47
primary_5A,Unit 2,cooking,烹饪；烹调,14,19
primary_5A,Unit 4,dance,跳舞,39,44
primary_5A,Unit 2,day,一天；一日,19,24
primary_5A,Unit 3,Dear,（用于信函抬头的名字 或头衔前）亲爱的,29,34
primary_5A,Unit 3,delicious,美味的；可口的,28,33
primary_5A,Unit 5,dirty,肮脏的,53,58
primary_5A,Unit 2,do,做；干,18,23
primary_5A,Unit 2,do homework,做作业,18,23
primary_5A,Unit 4,do kung fu,练武术,39,44
primary_5A,Unit 4,draw,画,39,44
primary_5A,Unit 4,draw cartoons,画漫画,39,44
primary_5A,Unit 3,drink,喝；饮,24,29
primary_5A,Unit 4,email,电子邮件,43,48
primary_5A,Unit 2,every,每一个，每个,19,24
primary_5A,Unit 5,everywhere,处处； 到处,53,58
primary_5A,Unit 3,favourite,特别喜爱的,27,32
primary_5A,Unit 1,finish,完成；做好,9,14
primary_5A,Unit 5,flower,花；花朵,51,56
primary_5A,Unit 3,food,食物,27,32
primary_5A,Unit 6,forest,森林；林区,59,64
primary_5A,Unit 3,fresh,新鲜的；刚摘的,28,33
primary_5A,Unit 5,front,正面,52,57
primary_5A,Unit 2,Friday,星期五,15,20
primary_5A,Unit 1,funny,滑稽的；可笑的,5,10
primary_5A,Unit 6,go boating,去划船,58,63
primary_5A,Unit 5,grandparent,祖父； 祖母；外祖父；外祖母,51,56
primary_5A,Unit 3,hamburger,汉堡包,25,30
primary_5A,Unit 1,hard-working,工作努力的；辛勤的,8,13
primary_5A,Unit 3,healthy,健康的,28,33
primary_5A,Unit 1,helpful,有用的； 愿意帮忙的,8,13
primary_5A,Unit 6,high,高的,63,68
primary_5A,Unit 6,hill,山丘；小山,59,64
primary_5A,Unit 1,him,（用作宾语或表语）他,9,14
primary_5A,Unit 3,hot,辣的；辛辣的,28,33
primary_5A,Unit 6,house,房屋；房子；住宅,62,67
primary_5A,Unit 3,ice cream,冰激凌,25,30
primary_5A,Unit 5,in front of,在⋯⋯前面,52,57
primary_5A,Unit 1,kind,体贴的；慈祥的； 宽容的,5,10
primary_5A,Unit 1,know,知道；了解,4,9
primary_5A,Unit 4,kung fu,功夫；武术,39,44
primary_5A,Unit 6,lake,湖；湖泊,59,64
primary_5A,Unit 4,learn,学；学习；学会,41,46
primary_5A,Unit 5,live,住；居住,53,58
primary_5A,Unit 5,lot,大量；许多,51,56
primary_5A,Unit 5,lots of,大量；许多,51,56
primary_5A,Unit 2,Monday,星期一,15,20
primary_5A,Unit 6,mountain,高山；山岳,59,64
primary_5A,Unit 5,mouse,老鼠,53,58
primary_5A,Unit 5,move,搬家,53,58
primary_5A,Unit 1,Ms,（用于女子的姓氏或姓 名前，不指明婚否）女士,7,12
primary_5A,Unit 5,nature,自然界；大自然,53,58
primary_5A,Unit 4,next,下一个的；紧接着的； 接下来的,38,43
primary_5A,Unit 4,no problem,没问题,41,46
primary_5A,Unit 2,often,时常；常常,17,22
primary_5A,Unit 1,old,老的；年纪大的,5,10
primary_5A,Unit 3,onion,洋葱；葱头,29,34
primary_5A,Unit 1,our,我们的,4,9
primary_5A,Unit 2,park,公园,17,22
primary_5A,Unit 4,party,聚会；派对,38,43
primary_5A,Unit 5,photo,照片；相片,49,54
primary_5A,Unit 4,ping-pong,乒乓球,42,47
primary_5A,Unit 5,plant,植物,49,54
primary_5A,Unit 2,play,踢；玩；参加（体育 运动）,18,23
primary_5A,Unit 4,play basketball,打篮球,42,47
primary_5A,Unit 2,play football,踢足球,18,23
primary_5A,Unit 4,play ping-pong,打乒乓球,42,47
primary_5A,Unit 2,play sports,做体育运动,19,24
primary_5A,Unit 4,play the pipa,弹琵琶,39,44
primary_5A,Unit 1,polite,有礼貌的；客气的,8,13
primary_5A,Unit 4,problem,问题,41,46
primary_5A,Unit 3,tea,茶；茶水,25,30
primary_5A,Unit 6,rabbit,兔；野兔,61,66
primary_5A,Unit 5,their,他们的；她们的； 它们的,51,56
primary_5A,Unit 2,read,看；读,18,23
primary_5A,Unit 5,there,（表示存在或发生）,48,53
primary_5A,Unit 2,read books,看书,18,23
primary_5A,Unit 3,thirsty,渴的；口渴的,24,29
primary_5A,Unit 6,river,河；江,59,64
primary_5A,Unit 2,Thursday,星期四 tree 树；树木；乔木 p.62,15,20
primary_5A,Unit 1,robot,机器人,9,14
primary_5A,Unit 2,tired,疲倦的,19,24
primary_5A,Unit 3,salad,蔬菜沙拉；混合沙 拉,25,30
primary_5A,Unit 2,Tuesday,星期二,15,20
primary_5A,Unit 6,village,村庄；村镇,62,67
primary_5A,Unit 3,sandwich,三明治,25,30
primary_5A,Unit 2,Saturday,星期六,15,20
primary_5A,Unit 2,schedule,工作计划； 日程安排,19,24
primary_5A,Unit 4,want,要；想要,43,48
primary_5A,Unit 4,send,邮寄；发送,43,48
primary_5A,Unit 2,wash,洗,18,23
primary_5A,Unit 2,should,（常用于纠正别 人）应该，应当,19,24
primary_5A,Unit 2,wash my clothes,洗我的衣服,18,23
primary_5A,Unit 2,watch,看,18,23
primary_5A,Unit 1,shy,羞怯的；腼腆的；怕生的,8,13
primary_5A,Unit 2,watch TV,看电视,18,23
primary_5A,Unit 4,sing,唱；唱歌,39,44
primary_5A,Unit 5,water bottle,水瓶,49,54
primary_5A,Unit 4,sing English songs,唱英文歌曲,39,44
primary_5A,Unit 4,we’ll = we will,,38,43
primary_5A,Unit 1,sometimes,有时； 间或,7,12
primary_5A,Unit 2,Wednesday,星期三,15,20
primary_5A,Unit 2,weekend,周末,15,20
primary_5A,Unit 4,song,歌曲,39,44
primary_5A,Unit 1,will,（谈及将来）将要,7,12
primary_5A,Unit 1,speak,会说；会讲（某种 语言）；用（某种语言）说话,9,14
primary_5A,Unit 4,wonderful,极好的； 了不起的,38,43
primary_5A,Unit 4,speak English,说英语,42,47
primary_5A,Unit 2,sport,体育运动,19,24
primary_5A,Unit 1,young,年轻的；岁数不大的,5,10
primary_5A,Unit 1,strict,要求严格的；严厉的,5,10
primary_5A,Unit 2,Sunday,星期日,15,20
primary_5A,Unit 3,sweet,含糖的；甜的,28,33
primary_5A,Unit 4,swim,游泳,42,47
