book,unit,word,gloss,printed_page,pdf_page
primary_3A,Unit 3,arm,胳膊,28,33
primary_3A,Unit 1,bag,包,8,13
primary_3A,Unit 4,bear,熊,39,44
primary_3A,Unit 4,bird,鸟,42,47
primary_3A,Unit 2,black,黑色；黑色的,18,23
primary_3A,Unit 2,blue,蓝色；蓝色的,15,20
primary_3A,Unit 3,body,身体,28,33
primary_3A,Unit 1,book,书,8,13
primary_3A,Unit 5,bread,面包,49,54
primary_3A,Unit 6,brother,兄；弟,61,66
primary_3A,Unit 2,brown,棕色；棕色的,18,23
primary_3A,Unit 5,cake,蛋糕,52,57
primary_3A,Unit 4,cat,猫,39,44
primary_3A,Unit 1,crayon,蜡笔,5,10
primary_3A,Unit 4,dog,狗,39,44
primary_3A,Unit 4,duck,鸭子,39,44
primary_3A,Unit 3,ear,耳朵,25,30
primary_3A,Unit 5,egg,蛋,49,54
primary_3A,Unit 6,eight,八,62,67
primary_3A,Unit 4,elephant,大象,42,47
primary_3A,Unit 1,eraser,橡皮,5,10
primary_3A,Unit 3,eye,眼睛,25,30
primary_3A,Unit 3,face,脸,25,30
primary_3A,Unit 5,fish,鱼肉；鱼,52,57
primary_3A,Unit 6,five,五,59,64
primary_3A,Unit 3,foot,脚,28,33
primary_3A,Unit 6,four,四,59,64
primary_3A,Unit 4,funny,滑稽的；好笑的,41,46
primary_3A,Unit 2,green,绿色；绿色的,15,20
primary_3A,Unit 3,hand,手,28,33
primary_3A,Unit 3,head,头,28,33
primary_3A,Unit 5,juice,果汁,49,54
primary_3A,Unit 3,leg,腿,28,33
primary_3A,Unit 2,red,红色；红色的,15,20
primary_3A,Unit 5,rice,米饭,52,57
primary_3A,Unit 5,milk,牛奶,49,54
primary_3A,Unit 1,ruler,尺子,5,10
primary_3A,Unit 3,school,学校,24,29
primary_3A,Unit 4,monkey,猴子,42,47
primary_3A,Unit 3,mouth,嘴,25,30
primary_3A,Unit 6,mum,妈妈 seven 七,62,67
primary_3A,Unit 6,six,六,62,67
primary_3A,Unit 6,nine,九,62,67
primary_3A,Unit 6,ten,十,62,67
primary_3A,Unit 1,no,不,8,13
primary_3A,Unit 6,three,三,59,64
primary_3A,Unit 3,nose,鼻子,25,30
primary_3A,Unit 4,tiger,老虎,42,47
primary_3A,Unit 6,two,二,59,64
primary_3A,Unit 2,OK,好；行,18,23
primary_3A,Unit 5,water,水,52,57
primary_3A,Unit 6,one,一,59,64
primary_3A,Unit 2,orange,橙色；橙色的,18,23
primary_3A,Unit 2,white,白色；白色的,18,23
primary_3A,Unit 4,panda,大熊猫,42,47
primary_3A,Unit 2,yellow,黄色；黄色的,15,20
primary_3A,Unit 1,pen,钢笔,8,13
primary_3A,Unit 1,your,你（们）的,8,13
primary_3A,Unit 1,pencil,铅笔,5,10
primary_3A,Unit 1,pencil box,铅笔盒,8,13
primary_3A,Unit 4,zoo,动物园,42,47
primary_3A,Unit 4,pig,猪,39,44
primary_3A,Unit 6,plate,盘子,58,63
