book,unit,word,gloss,printed_page,pdf_page
primary_4B,Unit 1,first floor,一楼,5,10
primary_4B,Unit 1,second floor,二楼,5,10
primary_4B,Unit 1,teachers‛ office,教师办公室,5,10
primary_4B,Unit 1,library,图书馆,5,10
primary_4B,Unit 1,playground,操场,8,13
primary_4B,Unit 1,computer room,计算机房,8,13
primary_4B,Unit 1,art room,美术教室,8,13
primary_4B,Unit 1,music room,音乐教室,8,13
primary_4B,Unit 1,next to,紧邻；在⋯⋯近旁,4,9
primary_4B,Unit 1,homework,作业,4,9
primary_4B,Unit 1,class,班；班级,7,12
primary_4B,Unit 1,forty,四十,7,12
primary_4B,Unit 1,way,方向,7,12
primary_4B,Unit 2,breakfast,早餐；早饭,15,20
primary_4B,Unit 2,English class,英语课,15,20
primary_4B,Unit 2,lunch,午餐；午饭,15,20
primary_4B,Unit 2,music class,音乐课,15,20
primary_4B,Unit 2,PE class,体育课,15,20
primary_4B,Unit 2,dinner,（中午或晚上吃的）正餐,15,20
primary_4B,Unit 2,get up,起床,18,23
primary_4B,Unit 2,go to school,去上学,18,23
primary_4B,Unit 2,go home,回家,18,23
primary_4B,Unit 2,go to bed,上床睡觉,18,23
primary_4B,Unit 2,over,结束,14,19
primary_4B,Unit 2,now,现在；目前,14,19
primary_4B,Unit 2,o’clock,（表示整点） ⋯⋯点钟,14,19
primary_4B,Unit 2,kid,小孩,14,19
primary_4B,Unit 2,thirty,三十,17,22
primary_4B,Unit 2,hurry up,快点,17,22
primary_4B,Unit 2,come on,快；加油,19,24
primary_4B,Unit 2,just a minute,稍等一会儿,19,24
primary_4B,Unit 3,cold,寒冷的；冷的,25,30
primary_4B,Unit 3,cool,凉的；凉爽的,25,30
primary_4B,Unit 3,warm,温暖的；暖和的,25,30
primary_4B,Unit 3,hot,热的; 烫的,25,30
primary_4B,Unit 3,sunny,阳光充足的,28,33
primary_4B,Unit 3,windy,多风的；风大的,28,33
primary_4B,Unit 3,cloudy,阴天的；多云的,28,33
primary_4B,Unit 3,snowy,下雪（多）的,28,33
primary_4B,Unit 3,rainy,阴雨的；多雨的,28,33
primary_4B,Unit 3,outside,在户外,24,29
primary_4B,Unit 3,be careful,小心,24,29
primary_4B,Unit 3,weather,天气,25,30
primary_4B,Unit 3,New York,纽约,27,32
primary_4B,Unit 3,how about … ⋯⋯,怎么样？⋯⋯情况如何？,27,32
primary_4B,Unit 3,degree,度；度数,27,32
primary_4B,Unit 3,world,世界,28,33
primary_4B,Unit 3,London,伦敦,28,33
primary_4B,Unit 3,Moscow,莫斯科,28,33
primary_4B,Unit 3,Singapore,新加坡（市）,28,33
primary_4B,Unit 3,Sydney,悉尼,28,33
primary_4B,Unit 3,fly,放（风筝等）,29,34
primary_4B,Unit 3,love,（写信结尾的热情问候语） 爱你的,29,34
primary_4B,Unit 4,tomato,西红柿,39,44
primary_4B,Unit 4,potato,马铃薯；土豆,39,44
primary_4B,Unit 4,green beans,豆角；四季豆,39,44
primary_4B,Unit 4,carrot,胡萝卜,39,44
primary_4B,Unit 4,horse,马,42,47
primary_4B,Unit 4,cow,母牛；奶牛,42,47
primary_4B,Unit 4,sheep,羊；绵羊,42,47
primary_4B,Unit 4,hen,母鸡,42,47
primary_4B,Unit 4,these,（this 的复数形式） 这些,38,43
primary_4B,Unit 4,yum,（表示味道或气味非常好）,38,43
primary_4B,Unit 4,animal,兽；动物 those （that 的复数形式）,41,46
primary_4B,Unit 4,garden,花园；菜园,43,48
primary_4B,Unit 4,farm,农场,43,48
primary_4B,Unit 4,goat,山羊,43,48
primary_4B,Unit 4,eat,吃,43,48
primary_4B,Unit 5,clothes,衣服；服装,49,54
primary_4B,Unit 5,pants,裤子,49,54
primary_4B,Unit 5,hat,（常指带檐的）帽子,49,54
primary_4B,Unit 5,dress,连衣裙,49,54
primary_4B,Unit 5,skirt,女裙,49,54
primary_4B,Unit 5,coat,外衣；大衣,52,57
primary_4B,Unit 5,sweater,毛衣,52,57
primary_4B,Unit 5,sock,短袜,52,57
primary_4B,Unit 5,shorts,短裤,52,57
primary_4B,Unit 5,jacket,夹克衫,52,57
primary_4B,Unit 5,shirt,（尤指男士）衬衫,52,57
primary_4B,Unit 5,yours,你的；你们的,48,53
primary_4B,Unit 5,whose,谁的,51,56
primary_4B,Unit 5,mine,我的,51,56
primary_4B,Unit 5,pack,收拾（行李）,53,58
primary_4B,Unit 5,wait,等待,53,58
primary_4B,Unit 6,glove,（分手指的）手套,59,64
primary_4B,Unit 6,scarf,围巾；披巾,59,64
primary_4B,Unit 6,umbrella,伞；雨伞,59,64
primary_4B,Unit 6,sunglasses,太阳镜,59,64
primary_4B,Unit 6,pretty,美观的；精致的,62,67
primary_4B,Unit 6,expensive,昂贵的； 花钱多的,62,67
primary_4B,Unit 6,cheap,花钱少的；便宜的,62,67
primary_4B,Unit 6,nice,好的,62,67
primary_4B,Unit 6,try on,试穿,58,63
primary_4B,Unit 6,size,尺码；号,58,63
primary_4B,Unit 6,of course,当然,58,63
primary_4B,Unit 6,too,太；过于,58,63
primary_4B,Unit 6,just,正好；恰好,58,63
primary_4B,Unit 6,how much,多少钱,61,66
primary_4B,Unit 6,eighty,八十,61,66
primary_4B,Unit 6,dollar,元 （美国、加拿大等国的货币单位）,61,66
primary_4B,Unit 6,sale,特价销售; 大减价,63,68
primary_4B,Unit 6,more,更多的,63,68
primary_4B,Unit 6,us,我们,63,68
