headword,pos,freq_rank,cefr
france,n,,B1
french,n/a,,B1
freshman,n,,B2
freshwater,a,,B1
fridge magnet,,,A2
frightened,a,,B2
from now on,,,A2
from time to time,,,A2
front line,,,A2
froth,n/vt/vi,,B1
frozen,a,,B2
frustrated,a,,B2
fulfilment,n,,B2
full name,,,A2
full of,,,A2
fully,adv,,B1
fundraising,n/a,,B2
fungal,a,,B2
futurist,n,,B1
gateway,n,,B2
genie,n,,B1
gentleness,n,,B2
geologist,n,,B2
german,n/a,,B1
germany,n,,B1
get a load of,,,B1
get across,,,A2
get along,,,A2
get along with,,,A2
get dressed,,,A2
get in the way of,,,A2
get into,,,A2
get lost,,,A2
get mad,,,A2
get out,,,A2
get over,,,A2
get rid of,,,B1
get to know,,,A2
get together,,,A2
get up,,,A2
get used to,,,A2
getaway,n,,B2
ginkgo,,,B1
give it a go,,,A2
give up,,,A2
give way,,,B1
global warming,n,,A2
globalised,,,B2
go a long way,,,A2
go away,,,A2
go boating,,,A2
go by,,,A2
go camping,,,A2
go hiking,,,A2
go off,,,A2
go on a trip,,,A2
go on an outing,,,A2
go public,,,A2
go shopping,,,A2
go to bed,,,A2
go with,,,A2
go wrong,,,A2
good at,,,A2
good with,,,A2
graffiti,n,,B2
grassland,n,,B1
great-aunt,n,,B1
greenhouse gases,,,A2
gunfire,n,,B2
haiku,n,,B2
hand out,,,A2
handshake,n,,B2
hang out,,,A2
hang up,,,A2
happening,n,,B1
hardly ever,,,A2
have a point,,,A2
have an impact on,,,B1
have fun,,,A2
have second thoughts,,,B1
have to,,,A2
have to do with,,,A2
headphones,n,,B2
health care,,,B1
healthily,adv,,B1
hear from,,,A2
hear of,,,A2
heartbreaking,a,,B1
heartfelt,a,,B2
heatwave,n,,B1
help out,,,A2
herbal,a,,B2
hesitation,n,,B2
hidden,a,,B1
high school,,,A2
hiker,n,,B2
hip-hop,n,,B2
hockey,n,,B1
hold on,,,A2
hold your breath,,,A2
home economics,,,A2
homeless,a,,B1
homesickness,n,,B2
honeycomb,n/a/vt/vi,,B1
honk,n/vi/vt,,B2
hopefully,adv,,B1
hot and sour soup,,,A2
housekeeper,n,,B2
hurtful,a,,B1
ice cream,,,A2
ice hockey,,,A2
ice-skate,vi,,B1
ice-skating,n,,B1
iconic,,,B2
iguana,n,,B2
illegally,,,B2
imaging,,,B2
immoral,a,,B2
impolite,a,,B1
importantly,adv,,B1
in a hurry,,,A2
in a row,,,A2
in addition,,,B1
in case,,,B1
in class,,,A2
in contrast to,,,B1
